term_lower	term	confidence	defined_in
automaton state space homomorphism	automaton state space homomorphism	high	VariableAutomaton
automorphism	automorphism	high	Automorphism;Endomorphism;TypesOfHomomorphisms
automorphism groupoid of quantum transitions	automorphism groupoid of quantum transitions	high	AlgebraicCategoryOfQuantumAutomata
autoregressive model	autoregressive model	high	AutoregressiveModel
axiom 1.	Axiom 1.	medium	AbelianCategory
axiom 2.	Axiom 2.	medium	AbelianCategory
axiom 3.	Axiom 3.	medium	AbelianCategory
axiom 4.	Axiom 4.	medium	AbelianCategory
axiom 5.	Axiom 5.	medium	AbelianCategory
axiom 6.	Axiom 6.	medium	AbelianCategory
axioms of topoi	axioms of topoi	high	ToposAxioms
balanced	balanced	high	BalancedCategory
balanced category	balanced category	high	BalancedCategory
based topological space	based topological space	high	CategoryOfPointedTopologicalSpaces
basepoint	basepoint	medium	CategoryOfPointedTopologicalSpaces
basic algebraic geometry	Basic Algebraic Geometry	medium	RingedSpace
basic homological algebra	Basic homological algebra	medium	HorseshoeLemma
basis of $x$	basis of $X$	medium	FreeObjectsInConcreteCategories
bayes' rule	Bayes' Rule	high	BayesTheorem
bayes' theorem	Bayes' theorem	high	BayesTheorem
bennett inequality	Bennett inequality	high	BennettInequality
bennettinequality	BennettInequality	medium	ChernoffCramerBound
bernoulli distribution	Bernoulli distribution	high	BernoulliRandomVariable;BinomialDistribution
bernoulli random variable	Bernoulli random variable	high	BernoulliRandomVariable;BinomialDistribution
bernoullidistribution2	BernoulliDistribution2	medium	ListOfProbabilityDistributions
bernoullirandomvariable	BernoulliRandomVariable	medium	ListOfProbabilityDistributions
bernstein inequalities	Bernstein inequalities	high	BernsteinInequalities
bernsteininequality	BernsteinInequality	medium	ChernoffCramerBound
beta distribution	beta distribution	high	BetaRandomVariable
beta random variable	beta random variable	high	BetaRandomVariable
betarandomvariable	BetaRandomVariable	medium	ListOfProbabilityDistributions
bialgebra	bialgebra	medium	MVLogicsInTheCategoryOfAutomata
bialgebras	bialgebras	high	QuantumCategories
bialgebroids	bialgebroids	high	QuantumCategories
bibliography for category theory	bibliography for category theory	high	BibliographyForCategoryTheory
bibliography for mathematical physics foundations: axiomatics and categories	bibliography for mathematical physics foundations: axiomatics and categories	high	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
bibliography for probability	bibliography for probability	high	BibliographyForProbability
bibliography of foundations in mathematical physics	bibliography of foundations in mathematical physics	high	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
bibliography on category theory and algebraic topology	Bibliography on category theory and algebraic topology	medium	NsupercategoryTheory
bichteler-dellacherie theorem	Bichteler-Dellacherie theorem	high	BichtelerDellacherieTheorem
bicomplete	bicomplete	medium	MVLogicsInTheCategoryOfAutomata
bicompleteness theorem.	Bicompleteness Theorem.	medium	MVLogicsInTheCategoryOfAutomata
bifunctor	bifunctor	high	CartesianClosedCategory;Multifunctor
bimodal	bimodal	medium	Mode
bimorphism	bimorphism	high	EpimorphicExtension;TypesOfMorphisms
binad	binad	medium	NeutrosophicProbability
binomial distribution	binomial distribution	high	BinomialDistribution
binomial probability function	binomial probability function	high	BinomialDistribution
binomial random variable	binomial random variable	high	BinomialDistribution
biocybernetics	Biocybernetics	medium	MVLogicsInTheCategoryOfAutomata
biogroupoid	biogroupoid	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
birthday paradox	Birthday paradox	medium	ApproximatingTheBirthdayProblem
birthday problem	birthday problem	medium	ApproximatingTheBirthdayProblem
black-scholes formula	Black-Scholes formula	high	BlackScholesFormula
black-scholes partial differential equation	Black-Scholes partial differential equation	medium	BlackScholesFormula
black-scholes pricing formula	Black-Scholes pricing formula	high	BlackScholesFormula
blackscholesformula	BlackScholesFormula	medium	AnalyticSolutionOfBlackScholesPDE;DerivationOfBlackScholesFormulaInMartingaleForm
bonferroni inequalities	Bonferroni inequalities	high	BonferroniInequalities
boole	Boole	medium	NonAbelianStructures
boole inequality	Boole inequality	high	BooleInequality
boole inequality, proof of	Boole inequality, proof of	high	BooleInequalityProofOf
boolean topos	Boolean topos	high	Topos
borel groupoid homomorphism	Borel groupoid homomorphism	high	CategoryOfBorelGroupoids
borel measure	Borel measure	high	BorelMeasure
borel morphism	Borel morphism	high	BorelMorphism
borel space	Borel space	high	BorelSpace
borel subset space	Borel subset space	high	BorelSpace
borel-cantelli lemma	Borel-Cantelli lemma	high	BorelCantelliLemma
borelian	borelian	medium	RepresentationsOfLocallyCompactGroupoids
borelsigmaalgebra	BorelSigmaAlgebra	medium	BorelMeasure
both	both	medium	GrothendieckCategory
boundary map	boundary map	high	ChainComplex
boundary maps	boundary maps	medium	ChainComplex
boundary operator	boundary operator	high	ChainComplex
boundary operators	boundary operators	medium	ChainComplex
boundedlinearextension	BoundedLinearExtension	medium	ItoIntegral
braided monoidal supercategory ?	braided monoidal supercategory ?	medium	NsupercategoryTheory;Supercategory
brain and perception: holonomy and structure in figural processing	Brain and Perception: Holonomy and Structure in Figural processing	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
british journal for the philosophy of science	British Journal for the Philosophy of Science	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
brownian motion	Brownian motion	high	BrownianMotion;WaveletRepresentationOfBrownianMotion
brownian motion and diffusion	Brownian Motion and Diffusion	medium	BibliographyForProbability
buffon's needle	Buffon's needle	high	BuffonsNeedle
bull. amer. math. soc.	Bull. Amer. Math. Soc.	medium	BibliographyForCategoryTheory;BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;NonAbelianStructures
bull. inst. math. appl.	Bull. Inst. Math. Appl.	medium	Quasicrystal
bull. math. biol.	Bull. Math. Biol.	medium	MVLogicsInTheCategoryOfAutomata
bull. math. biology.	Bull. Math. Biology.	medium	MVLogicsInTheCategoryOfAutomata
bull. math. biophys	Bull. Math. Biophys	medium	MVLogicsInTheCategoryOfAutomata
bull. math. biophys.	Bull. Math. Biophys.	medium	MolecularSetAndMolecularClassVariables
bull. math. biophysics	Bull. Math. Biophysics	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;MVLogicsInTheCategoryOfAutomata;Supercategory
bull. math. biophysics,	Bull. Math. Biophysics,	medium	NonAbelianStructures
bull. math.biophysics	Bull. Math.Biophysics	medium	MVLogicsInTheCategoryOfAutomata
bull. of math. biol.	Bull. of Math. Biol.	medium	BibliographyForCategoryTheory;BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
bull. soc.
math. france	Bull. Soc.
Math. France	medium	BibliographyForCategoryTheory;BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
bull. soc. math. france	Bull. Soc. Math. France	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;NonAbelianStructures
bull. soc.math. france	Bull. Soc.Math. France	medium	NaturalTransformation
c*-algebra category	C*-algebra category	high	CategoryOfCalgebras
c. r. acad sci. paris s\'er. a	C. R. Acad Sci. Paris S\'er. A	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;NonAbelianStructures
c. r. acad. sci. (paris)	C. R. Acad. Sci. (Paris)	medium	LieAlgebraCohomology
c. r. acad. sci. paris s\'{e	C. R. Acad. Sci. Paris S\'{e	medium	QuantumSymmetry
c.r.a.s.	C.R.A.S.	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;NonAbelianStructures
c.r.a.s. paris	C.R.A.S. Paris	medium	BibliographyForCategoryTheory;BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;NaturalTransformation
c.r.acad.sci.paris	C.R.Acad.Sci.Paris	medium	QuantumSymmetry;Quasicrystal
c\`adl\`ag	c\`adl\`ag	medium	CadlagProcess
c\`adl\`ag process	c\`adl\`ag process	high	CadlagProcess
c\`agl\`ad	c\`agl\`ad	high	CadlagProcess
c_1category	C_1Category	medium	IndexOfCategories
c_2category	C_2Category	medium	IndexOfCategories
c_3category	C_3Category	medium	IndexOfCategories
cadlag	cadlag	high	CadlagProcess
cadlag process	cadlag process	high	CadlagProcess
cadlagprocess	CadlagProcess	medium	StoppedProcess
cah.  top. g\'{e	Cah.  Top. G\'{e	medium	BibliographyForCategoryTheory;BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;NonAbelianStructures
cah. top. g\'eom. diff. cat.	Cah. Top. G\'eom. Diff. Cat.	medium	GeneralizedVanKampenSiefertTheoremForDoubleGroupoids
calgebra3	CAlgebra3	medium	CategoryOfCalgebras
call option	call option	medium	BlackScholesFormula
cameron-martin space	Cameron-Martin space	high	CameronMartinSpace
canonical injection	canonical injection	high	GrothendieckCategory
canonical localizing system	canonical localizing system	high	CanonicalLocalizingSystem
cartesian closed	Cartesian closed	high	CartesianClosedCategory;RobertRosen
cartesian closed category	Cartesian closed category	high	CartesianClosedCategory
cartesian product	Cartesian product	medium	ProductOfCategories
cartesianclosedcategory	CartesianClosedCategory	medium	IndexOfCategories
cat	Cat	high	CartesianClosedCategory;CategoryOfSmallCategories;CompositionsOfNaturalTransformations
cat\'egories et structures	Cat\'egories et Structures	medium	BibliographyForCategoryTheory;BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;NaturalTransformation
categorical automaton	categorical automaton	high	CategoryOfAutomata;VariableAutomaton
categorical diagrams as functors	categorical diagrams as functors	high	CategoricalDiagramsAsFunctors
categorical direct product	categorical direct product	high	CategoricalDirectProduct
categorical direct product is an inverse limit	categorical direct product is an inverse limit	high	CategoricalDirectProductIsAnInverseLimit
categorical direct sum	categorical direct sum	high	CategoricalDirectSum
categorical dynamics	Categorical Dynamics	medium	WilliamFrancisLawvere
categorical equivalence	categorical equivalence	high	NaturalEquivalenceOfCategories
categorical foundations	Categorical Foundations	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
categorical product	categorical product	high	CategoricalDirectProduct
categorical pullback	categorical pullback	high	CategoricalPullback
categorical pushout	categorical pushout	high	CategoricalPullback
categorical pushout diagram	categorical pushout diagram	high	CategoricalPullback
categorical sequence	categorical sequence	high	CategoricalSequence
categorical sequence (or diagram) of sets and set-theoretical mappings	categorical sequence (or diagram) of sets and set-theoretical mappings	medium	MVLogicsInTheCategoryOfAutomata
categorical structures for descent and galois theory	Categorical Structures for Descent and Galois Theory	medium	GeneralizedVanKampenSiefertTheoremForDoubleGroupoids
categorical topology and its relation to analysis, algebra and combinatorics	Categorical Topology and its Relation to Analysis, Algebra and Combinatorics	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
categorical viewpoint	categorical viewpoint	medium	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
categoricalalgebra	CategoricalAlgebra	medium	CategoricalDiagramsAsFunctors
categoricalalgebras	CategoricalAlgebras	medium	HomotopyGroupoidsAndCrossedComplexesNoncommutativeStructuresInHigherDimensionalAlgebraHDA
categoricaldirectproduct	CategoricalDirectProduct	medium	AdditiveCategory
categoricalontologyabibliographyofcategorytheory	CategoricalOntologyABibliographyOfCategoryTheory	medium	Ab5categoryTheorem;C1category;C2category
categoricalsequence	CategoricalSequence	medium	StandardAbelianCategory
categories and groupoids	Categories and groupoids	medium	BibliographyForCategoryTheory;BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories;NonAbelianStructures
categories and supercategories in relational biology	categories and supercategories in relational biology	high	CategoriesAndSupercategoriesInRelationalBiology
categories for the working mathematician	Categories for the Working Mathematician	medium	AdjointFunctor;ConstantFunctor;NaturalTransformation
categories of functors and natural transformations	categories of functors and natural transformations	high	FunctorCategoryExamples
categories on letters	categories on letters	high	GrassmannHopfAlgebroidCategoriesAndGrassmannCategories
category	category	high	AlternativeDefinitionOfCategory;AlternativeDefinitionOfCategory1;Category
category  ab of abelian groups	category  Ab of abelian groups	high	AbelianGroupsFormAnAbelianCategoryProofThat
category $\textbf{c	category $\textbf{C	medium	MVLogicsInTheCategoryOfAutomata
category $ab$ of abelian groups	category $Ab$ of Abelian groups	high	AbelianGroupsFormAnAbelianCategoryProofThat
category associated to a partial order	category associated to a partial order	high	CategoryAssociatedToAPartialOrder
category isomorphism	category isomorphism	high	CategoryIsomorphism
category object	category object	high	InternalCategory
category of $c^*$ -algebras	category of $C^*$ -algebras	high	CategoryOfCalgebras
category of $c^*$-algebras	category of $C^*$-algebras	medium	CategoryOfCalgebras
category of abstract automata	category of abstract automata	high	CategoryOfAutomata;VariableAutomaton
category of additive fractions	category of additive fractions	high	CategoryOfAdditiveFractions
category of algebraic quantum automata	category of algebraic quantum automata	medium	MVLogicsInTheCategoryOfAutomata
category of automata	category of automata	high	CategoryOfAutomata;MVLogicsInTheCategoryOfAutomata
category of borel groupoids	category of Borel groupoids	high	CategoryOfBorelGroupoids
category of c*-algebras	category of C*-algebras	high	CategoryOfCalgebras
category of categories	category of categories	high	WilliamFrancisLawvere
category of classes of algebras and their
associated groupoid homomorphisms	category of classes of algebras and their
associated groupoid homomorphisms	medium	AlgebraicCategoriesAndClassesOfAlgebras;AlgebraicCategory
category of eilenberg-moore  algebras	category of Eilenberg-Moore  algebras	high	AlgebraicCategoriesAndClassesOfAlgebras
category of fractions	category of fractions	high	CategoryOfAdditiveFractions;CategoryOfFractions
category of fractions and homotopy theory	Category of fractions and homotopy theory	medium	BibliographyForCategoryTheory;BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
category of functors	category of functors	high	FunctorCategory;FunctorCategory1
category of matrices	category of matrices	high	CategoryOfMatrices
category of measuring devices	category of measuring devices	medium	3DistributedDynamicalSystems
category of molecular sets	category of molecular sets	medium	MolecularSetAndMolecularClassVariables
category of p-algebras	category of p-algebras	medium	QuantumTopos
category of pointed topological spaces	category of pointed topological spaces	high	CategoryOfPointedTopologicalSpaces
category of presheaves on $x$ with values in $\cal{c	category of presheaves on $X$ with values in $\cal{C	medium	ExamplesOfInitialObjectsAndTerminalObjectsAndZeroObjects
category of quantum automata	category of quantum automata	medium	AlgebraicCategoryOfQuantumAutomata;MVLogicsInTheCategoryOfAutomata
category of quantum computers	category of quantum computers	medium	MVLogicsInTheCategoryOfAutomata
category of reversible automata	category of reversible automata	high	CategoryOfAutomata
category of sequential machines	category of sequential machines	high	CategoryOfAutomata
category of sequential machines or automata	category of sequential machines or automata	high	CategoryOfAutomata
category of sets	category of sets	high	CategoryOfSets
category of small categories	category of small categories	high	CategoryOfSmallCategories
category of stochastic maps	category of stochastic maps	medium	2StochasticMaps
category of subsystems	category of subsystems	medium	3DistributedDynamicalSystems
category theory	Category theory	high	CategoryTheory;QuantumSymmetry
category theory (como 1990), lecture notes in mathematics	Category Theory (Como 1990), Lecture Notes in Mathematics	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
category theory and computer science	Category Theory and Computer Science	medium	MVLogicsInTheCategoryOfAutomata
category theory and computer science, lecture notes in computer science	Category Theory and Computer Science, Lecture Notes in Computer Science	medium	BibliographyForMathematicalPhysicsFoundationsAxiomaticsAndCategories
category with arbitrary products and pullbacks is complete	category with arbitrary products and pullbacks is complete	high	CategoryWithArbitraryProductsAndPullbacksIsComplete
categoryassociatedtoapartialorder	CategoryAssociatedToAPartialOrder	medium	LimitOfAFunctor
categoryisomorphism	CategoryIsomorphism	medium	DiagonalFunctor;IndexOfCategoryTheory;ProductOfCategories
categoryofautomata	CategoryOfAutomata	medium	VariableAutomaton
categoryofmrsystems3	CategoryOfMRSystems3	medium	IndexOfCategories
